state,recording_id,common_name,scientific_name,quality,date,time,latitude,longitude,duration,audio_url,source_url,license,selection_seed,selection_method
CA,361084,Cackling Goose,Branta hutchinsii,B,2017-01-28,03:33,40.6864,-124.2127,0:16,https://xeno-canto.org/361084/download,https://xeno-canto.org/361084,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,584999,California Quail,Callipepla californica,A,2020-08-26,09:51,32.6675,-116.9268,1:22,https://xeno-canto.org/584999/download,https://xeno-canto.org/584999,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,1152009,Calliope Hummingbird,Selasphorus calliope,B,2026-06-25,08:12,38.8116,-120.377,0:20,https://xeno-canto.org/1152009/download,https://xeno-canto.org/1152009,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,317033,Canada Goose,Branta canadensis,A,2016-05-02,8:46,37.274,-120.8467,0:34,https://xeno-canto.org/317033/download,https://xeno-canto.org/317033,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,666132,Chukar Partridge,Alectoris chukar,B,2021-08-02,10:00,37.2433,-118.1934,0:21,https://xeno-canto.org/666132/download,https://xeno-canto.org/666132,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,510630,Cinnamon Teal,Spatula cyanoptera,B,2019-06-22,07:00,41.9132,-119.4609,1:09,https://xeno-canto.org/510630/download,https://xeno-canto.org/510630,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,223349,Common Gallinule,Gallinula galeata,A,2007-02-14,16:00,33.1188,-115.7945,0:16,https://xeno-canto.org/223349/download,https://xeno-canto.org/223349,https://creativecommons.org/licenses/by-nc-nd/4.0/,42,species_stratified_round_robin
CA,345878,Common Ground Dove,Columbina passerina,B,2015-04-17,13:19,33.177,-115.6156,0:55,https://xeno-canto.org/345878/download,https://xeno-canto.org/345878,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,423314,Common Nighthawk,Chordeiles minor,B,2018-06-25,05:30,41.1921,-119.3143,0:23,https://xeno-canto.org/423314/download,https://xeno-canto.org/423314,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,578134,Common Pheasant,Phasianus colchicus,A,2015-02-10,12:20,39.3212,-121.8164,1:08,https://xeno-canto.org/578134/download,https://xeno-canto.org/578134,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,533394,Common Poorwill,Phalaenoptilus nuttallii,B,2020-03-06,20:57,34.268,-118.077,0:51,https://xeno-canto.org/533394/download,https://xeno-canto.org/533394,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,799409,Costa's Hummingbird,Calypte costae,A,2023-05-06,08:33,35.1081,-120.0757,1:10,https://xeno-canto.org/799409/download,https://xeno-canto.org/799409,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,135420,Eastern Whip-poor-will,Antrostomus vociferus,B,2013-05-27,21:30,37.0091,-121.8574,5:00,https://xeno-canto.org/135420/download,https://xeno-canto.org/135420,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,195342,Egyptian Goose,Alopochen aegyptiaca,A,2014-09-12,17:27,34.1819,-118.4936,0:58,https://xeno-canto.org/195342/download,https://xeno-canto.org/195342,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,481134,Eurasian Collared Dove,Streptopelia decaocto,B,2019-05-20,15:00,36.4728,-121.1873,0:32,https://xeno-canto.org/481134/download,https://xeno-canto.org/481134,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,779907,Gadwall,Mareca strepera,B,2023-02-10,13:19,39.195,-122.0562,0:02,https://xeno-canto.org/779907/download,https://xeno-canto.org/779907,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,475180,Gambel's Quail,Callipepla gambelii,A,2019-04-27,07:30,36.7152,-114.7146,0:49,https://xeno-canto.org/475180/download,https://xeno-canto.org/475180,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,465656,Greater Roadrunner,Geococcyx californianus,B,2019-04-07,9:57,35.1617,-119.8244,2:46,https://xeno-canto.org/465656/download,https://xeno-canto.org/465656,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,150244,Greater White-fronted Goose,Anser albifrons,B,2013-02-06,14:33,38.2657,-121.4393,0:10,https://xeno-canto.org/150244/download,https://xeno-canto.org/150244,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,757764,Green-winged Teal,Anas carolinensis,B,2022-04-03,09:50,37.1858,-120.6202,0:15,https://xeno-canto.org/757764/download,https://xeno-canto.org/757764,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,551487,Inca Dove,Columbina inca,B,2020-04-27,06:30,33.4102,-114.6633,0:14,https://xeno-canto.org/551487/download,https://xeno-canto.org/551487,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
AZ,132209,Allen's Hummingbird,Selasphorus sasin,B,2011-07-10,13:08,31.906,-109.1543,0:08,https://xeno-canto.org/132209/download,https://xeno-canto.org/132209,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
AZ,700909,American Wigeon,Mareca americana,B,2019-10-22,07:01,31.34,-109.273,1:47,https://xeno-canto.org/700909/download,https://xeno-canto.org/700909,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
AZ,452506,Anna's Hummingbird,Calypte anna,B,2018-01-12,12:39,33.3607,-111.7343,0:05,https://xeno-canto.org/452506/download,https://xeno-canto.org/452506,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
AZ,491895,Band-tailed Pigeon,Patagioenas fasciata,A,2019-08-01,05:39,31.9202,-109.2624,1:23,https://xeno-canto.org/491895/download,https://xeno-canto.org/491895,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
